datetime;predefinedLocationReference;averageVehicleSpeed;travelTime;travelTimeReliability;trafficStatus;vehicleProbeMeasurement;Geo Point;Geo Shape;gml_id;id_rva_troncon_fcd_v1_1;hierarchie;hierarchie_dv;denomination;insee;sens_circule;vitesse_maxi
2025-11-04T17:24:00+01:00;46265;72;10;100;freeFlow;8;48.08151919483246, -1.696500683340068;"{""coordinates"": [[-1.695593922030227, 48.08056263816751], [-1.695729594900646, 48.08068441946179], [-1.69597688005813, 48.08092315194566], [-1.696430275218829, 48.08141279881601], [-1.696703435767486, 48.08172921812897], [-1.696993217060606, 48.08207330686583], [-1.697356796900986, 48.08252252316875]], ""type"": ""LineString""}";rva_troncon_fcd_v1_1.3913;3913;Réseau national;Route nationale;Route nationale 136;35238;Sens unique;90
2025-11-04T17:24:00+01:00;46266;61;4;100;heavy;7;48.085559013323255, -1.6995093932301164;"{""coordinates"": [[-1.699369541142763, 48.085344092912585], [-1.69964924531747, 48.085773933733925]], ""type"": ""LineString""}";rva_troncon_fcd_v1_1.3912;3912;Réseau national;Route nationale;Route nationale 136;35238;Sens unique;90
2025-11-04T17:24:00+01:00;46267;22;37;100;congested;4;48.084855986237194, -1.6992518215827281;"{""coordinates"": [[-1.699783679388025, 48.08569444720641], [-1.699519312701463, 48.08529192242996], [-1.699254239509378, 48.08486960559215], [-1.698732907114332, 48.084009381631304]], ""type"": ""LineString""}";rva_troncon_fcd_v1_1.3915;3915;Réseau national;Route nationale;Route nationale 136;35238;Sens unique;90
2025-11-04T17:24:00+01:00;46268;20;76;100;congested;4;48.08225050025644, -1.6974937076978436;"{""coordinates"": [[-1.698732907114332, 48.084009381631304], [-1.698497925423284, 48.08370766106436], [-1.698035695253638, 48.08304136668667], [-1.697758563760645, 48.08260007652072], [-1.697578137189095, 48.082346495400934], [-1.697289927369789, 48.08194296251353], [-1.696914065978147, 48.08141262345824], [-1.696573057047578, 48.08093564547106], [-1.696234429544861, 48.080505816389135]], ""type"": ""LineString""}";rva_troncon_fcd_v1_1.3914;3914;Réseau national;Route nationale;Route nationale 136;35238;Sens unique;90
2025-11-04T17:24:00+01:00;46270_D;23;10;75;heavy;2;48.08617319145469, -1.6953116060097382;"{""coordinates"": [[-1.695142858990315, 48.08644843085583], [-1.695480353029162, 48.08589795205355]], ""type"": ""LineString""}";rva_troncon_fcd_v1_1.3917;3917;Réseau de distribution principale;Réseau de distribution;Rue de Nantes;35238;;50
2025-11-04T17:24:00+01:00;46270_G;17;13;60;heavy;1;48.08613218051606, -1.6951626027282076;"{""coordinates"": [[-1.695331350407586, 48.08585694133117], [-1.694993855048829, 48.086407419700954]], ""type"": ""LineString""}";rva_troncon_fcd_v1_1.3916;3916;Réseau de distribution principale;Réseau de distribution;Rue de Nantes;35238;;50
2025-11-04T17:24:00+01:00;46271_D;23;11;75;heavy;2;48.085595911680315, -1.6956545110716652;"{""coordinates"": [[-1.695480982838104, 48.08589689308414], [-1.695828039305226, 48.085294930276476]], ""type"": ""LineString""}";rva_troncon_fcd_v1_1.3903;3903;Réseau de distribution principale;Réseau de distribution;Rue de Nantes;35238;;50
2025-11-04T17:24:00+01:00;46271_G;17;16;60;heavy;1;48.08555701912018, -1.695504249574475;"{""coordinates"": [[-1.695677778552888, 48.085256037940596], [-1.695330720596062, 48.08585800029976]], ""type"": ""LineString""}";rva_troncon_fcd_v1_1.3902;3902;Réseau de distribution principale;Réseau de distribution;Rue de Nantes;35238;;50
2025-11-04T17:24:00+01:00;46374_D;29;42;75;heavy;2;48.094564018926405, -1.6879235385942895;"{""coordinates"": [[-1.690233756243176, 48.094674640684154], [-1.689505830134541, 48.094661460502344], [-1.685614324035007, 48.094427721687104]], ""type"": ""LineString""}";rva_troncon_fcd_v1_1.3905;3905;Réseau de distribution principale;Réseau de distribution;Boulevard Georges Clemenceau;35238;;50
2025-11-04T17:24:00+01:00;46374_G;7;170;58;congested;1;48.09467179104224, -1.6879141633442385;"{""coordinates"": [[-1.685599932558498, 48.09453522058183], [-1.68949394956218, 48.09476911016913], [-1.689498964403605, 48.0947693059521], [-1.690229404003617, 48.09478253165346]], ""type"": ""LineString""}";rva_troncon_fcd_v1_1.3904;3904;Réseau de distribution principale;Réseau de distribution;Boulevard Georges Clemenceau;35238;;50
